Date,Away Team,Away Score,Home Team,Home Score,Season,Notes,Day,Winner,Loser
11-09-2015,Washington Mystics,82,New York Liberty,55,2015,,Friday,Washington Mystics,New York Liberty
11-09-2015,Los Angeles Sparks,65,Phoenix Mercury,70,2015,,Friday,Phoenix Mercury,Los Angeles Sparks
11-09-2015,Minnesota Lynx,64,Seattle Storm,78,2015,,Friday,Seattle Storm,Minnesota Lynx
13-09-2015,Chicago Sky,75,Connecticut Sun,86,2015,,Sunday,Connecticut Sun,Chicago Sky
13-09-2015,New York Liberty,76,Indiana Fever,81,2015,,Sunday,Indiana Fever,New York Liberty
13-09-2015,San Antonio Silver Stars,59,Seattle Storm,58,2015,,Sunday,San Antonio Silver Stars,Seattle Storm
13-09-2015,Phoenix Mercury,87,Tulsa Shock,91,2015,,Sunday,Tulsa Shock,Phoenix Mercury
13-09-2015,Atlanta Dream,73,Washington Mystics,71,2015,,Sunday,Atlanta Dream,Washington Mystics
17-09-2015,Indiana Fever,72,Chicago Sky,77,2015,,Thursday,Chicago Sky,Indiana Fever
17-09-2015,Tulsa Shock,55,Phoenix Mercury,88,2015,,Thursday,Phoenix Mercury,Tulsa Shock
18-09-2015,Los Angeles Sparks,65,Minnesota Lynx,67,2015,,Friday,Minnesota Lynx,Los Angeles Sparks
18-09-2015,Washington Mystics,86,New York Liberty,83,2015,,Friday,Washington Mystics,New York Liberty
19-09-2015,Chicago Sky,82,Indiana Fever,89,2015,,Saturday,Indiana Fever,Chicago Sky
19-09-2015,Phoenix Mercury,91,Tulsa Shock,67,2015,,Saturday,Phoenix Mercury,Tulsa Shock
20-09-2015,Minnesota Lynx,71,Los Angeles Sparks,81,2015,,Sunday,Los Angeles Sparks,Minnesota Lynx
20-09-2015,New York Liberty,86,Washington Mystics,68,2015,,Sunday,New York Liberty,Washington Mystics
21-09-2015,Indiana Fever,100,Chicago Sky,89,2015,,Monday,Chicago Sky,Indiana Fever
22-09-2015,Los Angeles Sparks,80,Minnesota Lynx,91,2015,,Tuesday,Minnesota Lynx,Los Angeles Sparks
22-09-2015,Washington Mystics,74,New York Liberty,79,2015,,Tuesday,New York Liberty,Washington Mystics
23-09-2015,Indiana Fever,67,New York Liberty,84,2015,,Wednesday,New York Liberty,Indiana Fever
24-09-2015,Phoenix Mercury,60,Minnesota Lynx,67,2015,,Thursday,Minnesota Lynx,Phoenix Mercury
27-09-2015,New York Liberty,64,Indiana Fever,70,2015,,Sunday,Indiana Fever,New York Liberty
27-09-2015,Minnesota Lynx,72,Phoenix Mercury,71,2015,,Sunday,Minnesota Lynx,Phoenix Mercury
29-09-2015,Indiana Fever,66,New York Liberty,51,2015,,Tuesday,Indiana Fever,New York Liberty
04-10-2015,Indiana Fever,75,Minnesota Lynx,69,2015,,Sunday,Indiana Fever,Minnesota Lynx
06-10-2015,Indiana Fever,71,Minnesota Lynx,77,2015,,Tuesday,Minnesota Lynx,Indiana Fever
09-10-2015,Minnesota Lynx,80,Indiana Fever,77,2015,,Friday,Minnesota Lynx,Indiana Fever
11-10-2015,Minnesota Lynx,69,Indiana Fever,75,2015,,Sunday,Indiana Fever,Minnesota Lynx
14-10-2015,Indiana Fever,52,Minnesota Lynx,69,2015,,Wednesday,Minnesota Lynx,Indiana Fever
14-05-2016,Connecticut Sun,70,Chicago Sky,93,2016,,Saturday,Chicago Sky,Connecticut Sun
14-05-2016,Dallas Wings,90,Indiana Fever,79,2016,,Saturday,Dallas Wings,Indiana Fever
14-05-2016,Phoenix Mercury,76,Minnesota Lynx,95,2016,,Saturday,Minnesota Lynx,Phoenix Mercury
14-05-2016,Atlanta Dream,73,San Antonio Silver Stars,63,2016,,Saturday,Atlanta Dream,San Antonio Silver Stars
14-05-2016,New York Liberty,87,Washington Mystics,76,2016,,Saturday,New York Liberty,Washington Mystics
15-05-2016,Seattle Storm,66,Los Angeles Sparks,96,2016,,Sunday,Los Angeles Sparks,Seattle Storm
15-05-2016,Dallas Wings,71,New York Liberty,79,2016,,Sunday,New York Liberty,Dallas Wings
18-05-2016,Minnesota Lynx,97,Chicago Sky,80,2016,,Wednesday,Minnesota Lynx,Chicago Sky
18-05-2016,Phoenix Mercury,93,Indiana Fever,97,2016,,Wednesday,Indiana Fever,Phoenix Mercury
18-05-2016,Dallas Wings,87,Washington Mystics,77,2016,,Wednesday,Dallas Wings,Washington Mystics
19-05-2016,Connecticut Sun,72,San Antonio Silver Stars,68,2016,,Thursday,Connecticut Sun,San Antonio Silver Stars
